timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1722583433887,2238,HTTP Request,200,OK,Thread Group 1-84,text,true,,300,1026158,900,900,http://localhost:8000/upload/,2236,0,10
1722583433896,2242,HTTP Request,200,OK,Thread Group 1-98,text,true,,300,1026249,899,899,http://localhost:8000/upload/,2242,0,3
1722583433862,2292,HTTP Request,200,OK,Thread Group 1-44,text,true,,300,1026132,898,898,http://localhost:8000/upload/,2292,0,37
1722583433870,2318,HTTP Request,200,OK,Thread Group 1-12,text,true,,300,1026236,897,897,http://localhost:8000/upload/,2318,0,29
1722583433865,2402,HTTP Request,200,OK,Thread Group 1-41,text,true,,300,1026171,896,896,http://localhost:8000/upload/,2402,0,41
1722583433867,2422,HTTP Request,200,OK,Thread Group 1-61,text,true,,300,1026223,895,895,http://localhost:8000/upload/,2422,0,36
1722583433892,2400,HTTP Request,200,OK,Thread Group 1-91,text,true,,300,1026249,894,894,http://localhost:8000/upload/,2400,0,13
1722583433867,2429,HTTP Request,200,OK,Thread Group 1-11,text,true,,300,1026158,893,893,http://localhost:8000/upload/,2429,0,40
1722583433911,2401,HTTP Request,200,OK,Thread Group 1-111,text,true,,300,1026211,892,892,http://localhost:8000/upload/,2401,0,2
1722583433904,2411,HTTP Request,200,OK,Thread Group 1-107,text,true,,300,1026250,891,891,http://localhost:8000/upload/,2411,0,3
1722583433870,2532,HTTP Request,200,OK,Thread Group 1-72,text,true,,300,1026158,890,890,http://localhost:8000/upload/,2532,0,35
1722583433908,2581,HTTP Request,200,OK,Thread Group 1-109,text,true,,300,1026146,889,889,http://localhost:8000/upload/,2581,0,2
1722583433910,2588,HTTP Request,200,OK,Thread Group 1-108,text,true,,300,1026172,888,888,http://localhost:8000/upload/,2588,0,2
1722583433913,2587,HTTP Request,200,OK,Thread Group 1-113,text,true,,300,1026159,887,887,http://localhost:8000/upload/,2587,0,3
1722583433866,2648,HTTP Request,200,OK,Thread Group 1-7,text,true,,300,1026144,886,886,http://localhost:8000/upload/,2648,0,44
1722583433862,2686,HTTP Request,200,OK,Thread Group 1-48,text,true,,300,1026145,885,885,http://localhost:8000/upload/,2686,0,41
